サービスタグ,カテゴリー,カテゴリー_en,質問,質問_en,回答,回答_en,is_popular
,,,"「android」ですね。
android10以降の端末に関してですが、初期設定でMACアドレスが1つのアドレスに固定されていない設定になっております。

弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございますので、
以下の手順で設定をお願いいたします。

①「設定」をタップ
②「ネットワークとインターネット」をタップ
③「WI-FI」をタップ
④現在使用しているWIFIをタップ
⑤「詳細設定」をタップ
⑥「プライバシー」をタップ
⑦”ランダムなMACを使用する”から、”デバイスのMACを使用する”に変更
⑧「保存」をタップ

上記の設定を行い接続できましたか？

①『接続できた』

②『接続できなかった』","「android」ですね。
android10以降の端末に関してですが、初期設定でMACアドレスが1つのアドレスに固定されていない設定になっております。

弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございますので、
以下の手順で設定をお願いいたします。

①「設定」をタップ
②「ネットワークとインターネット」をタップ
③「WI-FI」をタップ
④現在使用しているWIFIをタップ
⑤「詳細設定」をタップ
⑥「プライバシー」をタップ
⑦”ランダムなMACを使用する”から、”デバイスのMACを使用する”に変更
⑧「保存」をタップ

上記の設定を行い接続できましたか？

①『接続できた』

②『接続できなかった』",,,
,,,"「パソコン」ですね。
お客様のお持ちのパソコンがWindowsの場合、弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございます。 
以下の手順で設定をお願いいたします。

①「設定」　をクリック
②「ネットワークとインターネット」　をクリック
③「WI-FI」　をクリック
④「ランダムなハードウェアアドレスを使う」をスイッチをクリックし、オフにします。

上記の設定を行い接続できましたか？

①『接続できた』

②『接続できなかった』","「パソコン」ですね。
お客様のお持ちのパソコンがWindowsの場合、弊社のインターネットに接続するためには、固定MACアドレスに設定していただく必要がございます。 
以下の手順で設定をお願いいたします。

①「設定」　をクリック
②「ネットワークとインターネット」　をクリック
③「WI-FI」　をクリック
④「ランダムなハードウェアアドレスを使う」をスイッチをクリックし、オフにします。

上記の設定を行い接続できましたか？

①『接続できた』

②『接続できなかった』",,,
,,,"「その他」ですね。
ご迷惑をお掛けし申し訳ございません。
その他端末の場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「その他」ですね。
ご迷惑をお掛けし申し訳ございません。
その他端末の場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"「全ての端末」ですね。
ご迷惑をお掛けし申し訳ございません。
全ての端末の場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「全ての端末」ですね。
ご迷惑をお掛けし申し訳ございません。
全ての端末の場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"「接続できた」ですね。
この度は、Sun-netサポートにご連絡いただきましてありがとうございました。
また何かトラブルがございましたら、お気軽にお問合せ下さい。
今後ともSun-netサービスをよろしくお願いいたします。🐶🌞
お電話やフォームによるお問い合わせもお待ちしております。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「接続できた」ですね。
この度は、Sun-netサポートにご連絡いただきましてありがとうございました。
また何かトラブルがございましたら、お気軽にお問合せ下さい。
今後ともSun-netサービスをよろしくお願いいたします。🐶🌞
お電話やフォームによるお問い合わせもお待ちしております。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"「接続できなかった」ですね。
ご迷惑をお掛けし申し訳ございません。

接続ができなかった場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「接続できなかった」ですね。
ご迷惑をお掛けし申し訳ございません。

接続ができなかった場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"「点灯していない」ですね。
ご迷惑をお掛けし申し訳ございません。
wanの差込口のランプが点灯していない場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「点灯していない」ですね。
ご迷惑をお掛けし申し訳ございません。
wanの差込口のランプが点灯していない場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,（終了）,（終了）,,,
,,,"「ランダム」ですね。
「ランダムなMACアドレスを使用する」から
「デバイスのMACアドレスを使用する」に変更してください。
設定の変更後、インターネットに接続できましたか？

①『接続できた』

②『接続できなかった』","「ランダム」ですね。
「ランダムなMACアドレスを使用する」から
「デバイスのMACアドレスを使用する」に変更してください。
設定の変更後、インターネットに接続できましたか？

①『接続できた』

②『接続できなかった』",,,
,,,"メッセージありがとうございます！☀
MACアドレス追加は下記フォームからお受けしております！

【MACアドレス追加フォーム】
https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html?_ga=2.66777962.519741247.1619073257-2119856704.1619073257","メッセージありがとうございます！☀
MACアドレス追加は下記フォームからお受けしております！

【MACアドレス追加フォーム】
https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html?_ga=2.66777962.519741247.1619073257-2119856704.1619073257",,,
,,,"「設定オン」ですね。
お客様のお持ちのiPhoneの
”プライベートアドレス設定”を「オフ」してください。
※プライベートアドレス設定が
不明な場合は下記サイトを参考にしてください。
https://support.apple.com/ja-jp/guide/iphone/iph6b324bb33/ios

①『接続できた』

②『接続できなかった』","「設定オン」ですね。
お客様のお持ちのiPhoneの
”プライベートアドレス設定”を「オフ」してください。
※プライベートアドレス設定が
不明な場合は下記サイトを参考にしてください。
https://support.apple.com/ja-jp/guide/iphone/iph6b324bb33/ios

①『接続できた』

②『接続できなかった』",,,
,,,"「設定オフ」ですね。
ご迷惑をお掛けし大変申し訳ございません。
設定オフの場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「設定オフ」ですね。
ご迷惑をお掛けし大変申し訳ございません。
設定オフの場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"「デバイス」ですね。
ご迷惑をお掛けし大変申し訳ございません。
デバイスMACアドレスを使用している場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html","「デバイス」ですね。
ご迷惑をお掛けし大変申し訳ございません。
デバイスMACアドレスを使用している場合、お客様の状況に合わせ個別対応させて頂いております。
お手数ですが、お部屋にいらっしゃる際に下記の電話番号・お問い合わせフォームまでご連絡ください。

電話番号：0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い技術的なサポートに関するお問い合わせの場合は「2#」 を選択してください。

お問い合わせフォーム：https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html",,,
,,,"メッセージありがとうございます！☀
各種お申込みは下記ホームページからお受けしております！

【新規お申込みフォーム】
http://www.sunrise-net.ne.jp/contact_list.html","メッセージありがとうございます！☀
各種お申込みは下記ホームページからお受けしております！

【新規お申込みフォーム】
http://www.sunrise-net.ne.jp/contact_list.html",,,
,,,"メッセージありがとうございます！
「お問い合わせ」ですね。

お問い合わせは下記の電話番号とフォームからお受けしております。

【電話番号】
0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い
料金や契約に関するお問い合わせの場合は「1#」
技術的なサポートに関するお問い合わせの場合は「2#」 
その他のお問い合わせの場合は「3#」
を選択してください。

【お問い合わせフォーム】
▽技術的なサポートに関するお問い合わせ
https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html

▽その他一般お問い合わせ
https://sunrise-net-s.cms2.jp/contact_list/contact.html","メッセージありがとうございます！
「お問い合わせ」ですね。

お問い合わせは下記の電話番号とフォームからお受けしております。

【電話番号】
0120-336-326
(平日10:00～18:00）
※音声ガイダンスに従い
料金や契約に関するお問い合わせの場合は「1#」
技術的なサポートに関するお問い合わせの場合は「2#」 
その他のお問い合わせの場合は「3#」
を選択してください。

【お問い合わせフォーム】
▽技術的なサポートに関するお問い合わせ
https://sunrise-net-s.cms2.jp/dormnet_list/neinfo.html

▽その他一般お問い合わせ
https://sunrise-net-s.cms2.jp/contact_list/contact.html",,,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,インターネットに接続できません。どうすればよいですか？,I cannot connect to the internet. What should I do?,まず、ルーターの電源が入っているか確認してください。次に、Wi-FiのSSIDとパスワードが正しいか確認します。それでも接続できない場合は、デバイスを再起動してみてください。,"First, check if the router is powered on. Next, verify that the Wi-Fi SSID and password are correct. If you still cannot connect, try restarting your device.",
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,Wi-Fiのパスワードがわかりません。どうすればよいですか？,I don't know the Wi-Fi password. What should I do?,Wi-Fiパスワード（暗号化キー）は通常、ルーターの裏面や底面に記載されています。見つからない場合は、Sun-Netサポートに連絡してください。,"The Wi-Fi password (encryption key) is usually located on the back or bottom of the router. If you cannot find it, please contact Sun-Net support.",
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,インターネット速度が遅いです。改善方法はありますか？,The internet speed is slow. Is there a way to improve it?,ルーターを再起動したり、ルーターに近づいたりしてみてください。他のデバイスの使用状況も確認し、必要に応じてネットワークの設定を最適化してください。,"Try restarting the router or moving closer to it. Also, check the usage status of other devices and optimize network settings if necessary.",
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,ルーターの「ACTIVE」ランプが点灯しません。どうすればよいですか？,ルーターの「ACTIVE」ランプが点灯しません。どうすればよいですか？,ルーターが「BR（ブリッジ）」モードになっているか確認してください。側面や底面のスイッチを確認し、必要に応じて切り替えてから電源を入れ直してください。,ルーターが「BR（ブリッジ）」モードになっているか確認してください。側面や底面のスイッチを確認し、必要に応じて切り替えてから電源を入れ直してください。,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,インターネットが突然切断されます。原因は何でしょうか？,The internet is suddenly disconnected. What is the cause?,ルーターの位置、電波干渉、ファームウェアの古さなどが考えられます。ルーターの再起動や位置の変更、最新のファームウェアへの更新を試してみてください。,"Possible causes include router placement, radio interference, or outdated firmware. Try restarting the router, changing its position, or updating to the latest firmware.",1
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,物理（MAC）アドレスとは何ですか？なぜ登録が必要なのですか？,What is a physical (MAC) address? Why is registration required?,物理アドレスは、ネットワークデバイスを識別するための固有の番号です。Sun-Netでは、セキュリティと管理のために各デバイスのMACアドレスの登録が必要です。,"A physical address is a unique number used to identify a network device. At Sun-Net, registration of each device's MAC address is required for security and management.",1
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,物理アドレスの確認方法を教えてください。,How can I check the physical address?,デバイスによって異なりますが、一般的にはWindows PCの場合、コマンドプロンプトで「getmac /v」と入力します。Mac OSの場合は「システム環境設定」→「ネットワーク」から確認できます。,"It varies by device, but generally for a Windows PC, type 'getmac /v' in the command prompt. For Mac OS, check under 'System Preferences' -> 'Network'.",
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,新しいデバイスを購入しました。どうすればよいですか？,I bought a new device. What should I do?,新しいデバイスの物理アドレスを確認し、MACアドレス追加フォームよりお手続きください。https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html,Check the physical address of the new device and follow the procedures via the MAC address addition form: https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html,
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,登録できるデバイスの数に制限はありますか？,Is there a limit to the number of devices that can be registered?,基本的に5台まで登録可能です。6台目以降は1台につき月額220円（税込）で追加登録できます。同系統端末の登録は2台までとなります。,"Basically, up to 5 devices can be registered. From the 6th device onwards, additional registration is possible for 220 yen (tax included) per month per device.",
寮内ネット,ネットワーク設定,Network Settings,ルーターのリセットボタンを押してしまいました。どうすればよいですか？,ルーターのリセットボタンを押してしまいました。どうすればよいですか？,ルーターが初期化される為SSIDが変更されます。プライマリSSID（例：aterm~~）を選択し、ルーター裏面に記載されているパスワードを入力してください。,ルーターが初期化される為SSIDが変更されます。プライマリSSID（例：aterm~~）を選択し、ルーター裏面に記載されているパスワードを入力してください。,
寮内ネット,ネットワーク設定,Network Settings,IPアドレスの設定方法を教えてください。,IPアドレスの設定方法を教えてください。,通常は自動取得で問題ありませんが、手動設定が必要な場合は、デバイスのネットワーク設定から「IPアドレスを手動で設定する」を選択し、必要な情報を入力します。,通常は自動取得で問題ありませんが、手動設定が必要な場合は、デバイスのネットワーク設定から「IPアドレスを手動で設定する」を選択し、必要な情報を入力します。,
寮内ネット,ネットワーク設定,Network Settings,DNSサーバーの設定方法を教えてください。,DNSサーバーの設定方法を教えてください。,デバイスのネットワーク設定から「DNSサーバーのアドレスを手動で設定する」を選択し、Sun-Netから提供されたDNSサーバーアドレスを入力してください。,デバイスのネットワーク設定から「DNSサーバーのアドレスを手動で設定する」を選択し、Sun-Netから提供されたDNSサーバーアドレスを入力してください。,
寮内ネット,ネットワーク設定,Network Settings,IPv6は利用できますか？,IPv6は利用できますか？,Sun-Netサービスでのまたは居住地域でのIPv6対応状況については、カスタマーサポートにお問い合わせください。利用可能な場合、設定方法をご案内いたします。,Sun-Netサービスでのまたは居住地域でのIPv6対応状況については、カスタマーサポートにお問い合わせください。利用可能な場合、設定方法をご案内いたします。,
寮内ネット,デバイス別の設定と問題解決,Device Specific Settings & Troubleshooting,スマートフォンのWi-Fi接続ができません。,My smartphone cannot connect to Wi-Fi.,スマートフォンのWi-Fi設定で「プライベートアドレス」や「ランダムMACアドレス」機能がONになっている場合、OFFにしてみてください。,"If 'Private Address' or 'Random MAC Address' features are ON in your smartphone's Wi-Fi settings, please try turning them OFF.",
寮内ネット,デバイス別の設定と問題解決,Device Specific Settings & Troubleshooting,ゲーム機のインターネット接続設定方法を教えてください。,ゲーム機のインターネット接続設定方法を教えてください。,ゲーム機の種類によって異なりますが、一般的にはネットワーク設定からWi-Fiを選択し、SSIDとパスワードを入力します。詳細な手順はガイドブックを参照してください。,ゲーム機の種類によって異なりますが、一般的にはネットワーク設定からWi-Fiを選択し、SSIDとパスワードを入力します。詳細な手順はガイドブックを参照してください。,
寮内ネット,デバイス別の設定と問題解決,Device Specific Settings & Troubleshooting,セキュリティソフトがインターネット接続を妨げていませんか？,セキュリティソフトがインターネット接続を妨げていませんか？,セキュリティソフトの設定を確認し、必要に応じて一時的に無効にしてみてください。接続できた場合は、セキュリティソフトの設定を見直してください。,セキュリティソフトの設定を確認し、必要に応じて一時的に無効にしてみてください。接続できた場合は、セキュリティソフトの設定を見直してください。,
寮内ネット,デバイス別の設定と問題解決,Device Specific Settings & Troubleshooting,インターネットを介して家電を操作したいです。可能ですか？,インターネットを介して家電を操作したいです。可能ですか？,スマートホーム機器の利用は可能です。ただし、セキュリティには十分注意し、各機器のセットアップ方法に従ってください。不明点はメーカーサポートにお問い合わせください。,スマートホーム機器の利用は可能です。ただし、セキュリティには十分注意し、各機器のセットアップ方法に従ってください。不明点はメーカーサポートにお問い合わせください。,
寮内ネット,ネットワークのパフォーマンスと最適化,Network Performance & Optimization,Wi-Fiの電波が弱い部屋があります。対策はありますか？,Wi-Fiの電波が弱い部屋があります。対策はありますか？,Wi-Fi中継器やメッシュWi-Fiシステムの導入を検討してください。ただし、導入前にSun-Netサポートに相談することをおすすめします。,Wi-Fi中継器やメッシュWi-Fiシステムの導入を検討してください。ただし、導入前にSun-Netサポートに相談することをおすすめします。,
寮内ネット,ネットワークのパフォーマンスと最適化,Network Performance & Optimization,インターネットの速度を測定したいです。どうすればよいですか？,インターネットの速度を測定したいです。どうすればよいですか？,オンラインの速度測定サービス（例：Speedtest.net）を利用できます。測定結果に疑問がある場合は、Sun-Netサポートにお問い合わせください。,オンラインの速度測定サービス（例：Speedtest.net）を利用できます。測定結果に疑問がある場合は、Sun-Netサポートにお問い合わせください。,
寮内ネット,ネットワークのパフォーマンスと最適化,Network Performance & Optimization,ルーターのファームウェアを更新する必要がありますか？,ルーターのファームウェアを更新する必要がありますか？,ファームウェアの更新は、セキュリティや性能の向上のため重要です。定期的に確認し、更新することをお勧めします。更新方法はルーターの取扱説明書を参照してください。,ファームウェアの更新は、セキュリティや性能の向上のため重要です。定期的に確認し、更新することをお勧めします。更新方法はルーターの取扱説明書を参照してください。,
寮内ネット,ネットワークのパフォーマンスと最適化,Network Performance & Optimization,複数のデバイスを同時に使用すると、速度が遅くなりますか？,複数のデバイスを同時に使用すると、速度が遅くなりますか？,デバイスの数が増えると、帯域幅が分散されるため速度が低下する可能性があります。重要なタスクを行う際は、他のデバイスの使用を控えることをお勧めします。,デバイスの数が増えると、帯域幅が分散されるため速度が低下する可能性があります。重要なタスクを行う際は、他のデバイスの使用を控えることをお勧めします。,
寮内ネット,セキュリティとプライバシー,Security & Privacy,友人が来た時、一時的にWi-Fiを使わせることはできますか？,友人が来た時、一時的にWi-Fiを使わせることはできますか？,基本的には可能ですが、セキュリティのため、ゲスト用のWi-Fi設定を使用することをお勧めします。設定方法についてはSun-Netサポートにお問い合わせください。,基本的には可能ですが、セキュリティのため、ゲスト用のWi-Fi設定を使用することをお勧めします。設定方法についてはSun-Netサポートにお問い合わせください。,
寮内ネット,セキュリティとプライバシー,Security & Privacy,VPNを使用してもよいですか？,VPNを使用してもよいですか？,VPNの使用自体は問題ありませんが、一部のVPNサービスはネットワークのパフォーマンスに影響を与える可能性があります。また、不正利用はお控えください。,VPNの使用自体は問題ありませんが、一部のVPNサービスはネットワークのパフォーマンスに影響を与える可能性があります。また、不正利用はお控えください。,
寮内ネット,セキュリティとプライバシー,Security & Privacy,セキュリティ対策として何をすればよいですか？,セキュリティ対策として何をすればよいですか？,強力なWi-Fiパスワードの設定、ルーターのファームウェア更新、不要なポートの閉鎖、定期的なデバイスのセキュリティ更新を行ってください。,強力なWi-Fiパスワードの設定、ルーターのファームウェア更新、不要なポートの閉鎖、定期的なデバイスのセキュリティ更新を行ってください。,
ALL,Sun-Net光,Sun-Net Hikari,インターネットの使用量に制限はありますか？,インターネットの使用量に制限はありますか？,Sun-Netサービスでは通常、データ使用量に制限はありません。ただし、過度な使用や不正利用は避けてください。,Sun-Netサービスでは通常、データ使用量に制限はありません。ただし、過度な使用や不正利用は避けてください。,
ALL,Sun-Net光,Sun-Net Hikari,インターネット料金の支払い方法を変更したいです。可能ですか？,インターネット料金の支払い方法を変更したいです。可能ですか？,支払い方法の変更は可能です。Sun-Netカスタマーサポートに連絡し、希望する支払い方法をお伝えください。,支払い方法の変更は可能です。Sun-Netカスタマーサポートに連絡し、希望する支払い方法をお伝えください。,
ALL,Sun-Net光,Sun-Net Hikari,引っ越しする予定です。インターネットサービスはどうなりますか？,引っ越しする予定です。インターネットサービスはどうなりますか？,引っ越し先がSun-Netのサービス提供エリア内であれば、移転手続きが可能です。早めにSun-Netサポートに連絡して、必要な手続きを確認してください。,引っ越し先がSun-Netのサービス提供エリア内であれば、移転手続きが可能です。早めにSun-Netサポートに連絡して、必要な手続きを確認してください。,
ALL,Sun-Net光,Sun-Net Hikari,インターネットの障害情報はどこで確認できますか？,インターネットの障害情報はどこで確認できますか？,Sun-Netの公式ウェブサイトやSNSアカウントで最新の障害情報を確認できます。大規模な障害の場合は、メールでも通知されます。,Sun-Netの公式ウェブサイトやSNSアカウントで最新の障害情報を確認できます。大規模な障害の場合は、メールでも通知されます。,
ALL,Sun-Net光,Sun-Net Hikari,サポートの営業時間外に問題が発生した場合、どうすればよいですか？,サポートの営業時間外に問題が発生した場合、どうすればよいですか？,緊急の場合は、Sun-Netの公式ウェブサイトのヘルプセンターやFAQを参照してください。翌営業日にサポートに連絡することもできます。,緊急の場合は、Sun-Netの公式ウェブサイトのヘルプセンターやFAQを参照してください。翌営業日にサポートに連絡することもできます。,
ALL,Sun-Net光,Sun-Net Hikari,インターネットサービスを解約したい場合、どうすればよいですか？,インターネットサービスを解約したい場合、どうすればよいですか？,解約希望の場合は、Sun-Netカスタマーサポートに連絡してください。解約手続きや必要書類、機器の返却方法などについてご案内いたします。,解約希望の場合は、Sun-Netカスタマーサポートに連絡してください。解約手続きや必要書類、機器の返却方法などについてご案内いたします。,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,まず、ルーターの電源が入っているか確認してください。次に、Wi-FiのSSIDとパスワードが正しいか確認します。それでも接続できない場合は、デバイスを再起動してみてください。,まず、ルーターの電源が入っているか確認してください。次に、Wi-FiのSSIDとパスワードが正しいか確認します。それでも接続できない場合は、デバイスを再起動してみてください。,,,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,Wi-Fiパスワード（暗号化キー）は通常、ルーターの裏面や底面に記載されています。見つからない場合は、Sun-Netサポートに連絡してください。,Wi-Fiパスワード（暗号化キー）は通常、ルーターの裏面や底面に記載されています。見つからない場合は、Sun-Netサポートに連絡してください。,,,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,ルーターを再起動したり、ルーターに近づいたりしてみてください。他のデバイスの使用状況も確認し、必要に応じてネットワークの設定を最適化してください。,ルーターを再起動したり、ルーターに近づいたりしてみてください。他のデバイスの使用状況も確認し、必要に応じてネットワークの設定を最適化してください。,,,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,ルーターが「BR（ブリッジ）」モードになっているか確認してください。側面や底面のスイッチを確認し、必要に応じて切り替えてから電源を入れ直してください。,ルーターが「BR（ブリッジ）」モードになっているか確認してください。側面や底面のスイッチを確認し、必要に応じて切り替えてから電源を入れ直してください。,,,
寮内ネット,接続の基本とトラブルシューティング,Basic Connection & Troubleshooting,ルーターの位置、電波干渉、ファームウェアの古さなどが考えられます。ルーターの再起動や位置の変更、最新のファームウェアへの更新を試してみてください。,ルーターの位置、電波干渉、ファームウェアの古さなどが考えられます。ルーターの再起動や位置の変更、最新のファームウェアへの更新を試してみてください。,,,
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,物理アドレスは、ネットワークデバイスを識別するための固有の番号です。Sun-Netでは、セキュリティと管理のために各デバイスのMACアドレスの登録が必要です。,物理アドレスは、ネットワークデバイスを識別するための固有の番号です。Sun-Netでは、セキュリティと管理のために各デバイスのMACアドレスの登録が必要です。,,,
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,デバイスによって異なりますが、一般的にはWindows PCの場合、コマンドプロンプトで「getmac /v」と入力します。Mac OSの場合は「システム環境設定」→「ネットワーク」から確認できます。,デバイスによって異なりますが、一般的にはWindows PCの場合、コマンドプロンプトで「getmac /v」と入力します。Mac OSの場合は「システム環境設定」→「ネットワーク」から確認できます。,,,
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,新しいデバイスの物理アドレスを確認し、MACアドレス追加フォームよりお手続きください。https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html,新しいデバイスの物理アドレスを確認し、MACアドレス追加フォームよりお手続きください。https://sunrise-net-s.cms2.jp/contact_list/mac_application_add.html,,,
寮内ネット,物理アドレス（MACアドレス）と登録,Physical Address (MAC Address) & Registration,基本的に5台まで登録可能です。6台目以降は1台につき月額220円（税込）で追加登録できます。同系統端末の登録は2台までとなります。,基本的に5台まで登録可能です。6台目以降は1台につき月額220円（税込）で追加登録できます。同系統端末の登録は2台までとなります。,,,
寮内ネット,ネットワーク設定,Network Settings,ルーターが初期化される為SSIDが変更されます。プライマリSSID（例：aterm~~）を選択し、ルーター裏面に記載されているパスワードを入力してください。,ルーターが初期化される為SSIDが変更されます。プライマリSSID（例：aterm~~）を選択し、ルーター裏面に記載されているパスワードを入力してください。,,,
寮内ネット,ネットワーク設定,Network Settings,通常は自動取得で問題ありませんが、手動設定が必要な場合は、デバイスのネットワーク設定から「IPアドレスを手動で設定する」を選択し、必要な情報を入力します。,通常は自動取得で問題ありませんが、手動設定が必要な場合は、デバイスのネットワーク設定から「IPアドレスを手動で設定する」を選択し、必要な情報を入力します。,,,
寮内ネット,ネットワーク設定,Network Settings,デバイスのネットワーク設定から「DNSサーバーのアドレスを手動で設定する」を選択し、Sun-Netから提供されたDNSサーバーアドレスを入力してください。,デバイスのネットワーク設定から「DNSサーバーのアドレスを手動で設定する」を選択し、Sun-Netから提供されたDNSサーバーアドレスを入力してください。,,,
寮内ネット,ネットワーク設定,Network Settings,Sun-Netサービスでのまたは居住地域でのIPv6対応状況については、カスタマーサポートにお問い合わせください。利用可能な場合、設定方法をご案内いたします。,Sun-Netサービスでのまたは居住地域でのIPv6対応状況については、カスタマーサポートにお問い合わせください。利用可能な場合、設定方法をご案内いたします。,,,
